"Generation","Allele","Count","Percentage"
"21","Allele_13",3,15.789473684210526
"21","Allele_14",1,5.263157894736842
"21","Allele_15",0,0.0
"22","Allele_1",0,0.0
"22","Allele_2",0,0.0
"22","Allele_3",1,4.3478260869565215
"22","Allele_4",0,0.0
"22","Allele_5",5,21.73913043478261
"22","Allele_6",4,17.391304347826086
"22","Allele_7",0,0.0
"22","Allele_8",0,0.0
"22","Allele_9",3,13.043478260869565
"22","Allele_10",2,8.695652173913043
"22","Allele_11",0,0.0
"22","Allele_12",3,13.043478260869565
"22","Allele_13",2,8.695652173913043
"22","Allele_14",1,4.3478260869565215
"22","Allele_15",2,8.695652173913043
"23","Allele_1",0,0.0
"23","Allele_2",0,0.0
"23","Allele_3",0,0.0
"23","Allele_4",0,0.0
"23","Allele_5",2,15.384615384615385
"23","Allele_6",3,23.076923076923077
"23","Allele_7",0,0.0
"23","Allele_8",0,0.0
"23","Allele_9",0,0.0
"23","Allele_10",4,30.76923076923077
"23","Allele_11",0,0.0
"23","Allele_12",2,15.384615384615385
"23","Allele_13",2,15.384615384615385
"23","Allele_14",0,0.0
"23","Allele_15",0,0.0
"24","Allele_1",0,0.0
"24","Allele_2",0,0.0
"24","Allele_3",0,0.0
"24","Allele_4",0,0.0
"24","Allele_5",0,0.0
"24","Allele_6",5,33.33333333333333
"24","Allele_7",0,0.0
"24","Allele_8",0,0.0
"24","Allele_9",2,13.333333333333334
"24","Allele_10",0,0.0
"24","Allele_11",0,0.0
"24","Allele_12",2,13.333333333333334
"24","Allele_13",5,33.33333333333333
"24","Allele_14",1,6.666666666666667
"24","Allele_15",0,0.0
"25","Allele_1",0,0.0
"25","Allele_2",0,0.0
"25","Allele_3",0,0.0
"25","Allele_4",0,0.0
"25","Allele_5",4,18.181818181818183
"25","Allele_6",7,31.818181818181817
"25","Allele_7",0,0.0
"25","Allele_8",0,0.0
"25","Allele_9",2,9.090909090909092
"25","Allele_10",0,0.0
"25","Allele_11",0,0.0
"25","Allele_12",3,13.636363636363635
"25","Allele_13",5,22.72727272727273
"25","Allele_14",1,4.545454545454546
"25","Allele_15",0,0.0
"26","Allele_1",0,0.0
"26","Allele_2",0,0.0
"26","Allele_3",0,0.0
"26","Allele_4",0,0.0
"26","Allele_5",5,14.285714285714285
"26","Allele_6",4,11.428571428571429
"26","Allele_7",0,0.0
"26","Allele_8",0,0.0
"26","Allele_9",3,8.571428571428571
"26","Allele_10",7,20.0
"26","Allele_11",0,0.0
"26","Allele_12",7,20.0
"26","Allele_13",7,20.0
"26","Allele_14",2,5.714285714285714
"26","Allele_15",0,0.0
"27","Allele_1",0,0.0
"27","Allele_2",0,0.0
"27","Allele_3",1,2.0408163265306123
"27","Allele_4",0,0.0
"27","Allele_5",5,10.20408163265306
"27","Allele_6",5,10.20408163265306
"27","Allele_7",0,0.0
"27","Allele_8",0,0.0
"27","Allele_9",5,10.20408163265306
"27","Allele_10",10,20.40816326530612
"27","Allele_11",0,0.0
"27","Allele_12",9,18.36734693877551
"27","Allele_13",11,22.448979591836732
"27","Allele_14",3,6.122448979591836
"27","Allele_15",0,0.0
"28","Allele_1",0,0.0
"28","Allele_2",0,0.0
"28","Allele_3",0,0.0
"28","Allele_4",0,0.0
"28","Allele_5",3,6.25
"28","Allele_6",9,18.75
"28","Allele_7",0,0.0
"28","Allele_8",0,0.0
"28","Allele_9",2,4.166666666666666
"28","Allele_10",9,18.75
"28","Allele_11",0,0.0
"28","Allele_12",14,29.166666666666664
"28","Allele_13",8,16.666666666666664
"28","Allele_14",3,6.25
"28","Allele_15",0,0.0
"29","Allele_1",0,0.0
"29","Allele_2",0,0.0
"29","Allele_3",1,1.7857142857142856
"29","Allele_4",0,0.0
"29","Allele_5",5,8.928571428571427
"29","Allele_6",8,14.285714285714285
"29","Allele_7",0,0.0
"29","Allele_8",0,0.0
"29","Allele_9",6,10.714285714285714
"29","Allele_10",12,21.428571428571427
"29","Allele_11",0,0.0
"29","Allele_12",14,25.0
"29","Allele_13",8,14.285714285714285
"29","Allele_14",2,3.571428571428571
"29","Allele_15",0,0.0
"30","Allele_1",0,0.0
"30","Allele_2",0,0.0
"30","Allele_3",0,0.0
"30","Allele_4",0,0.0
"30","Allele_5",5,9.615384615384617
"30","Allele_6",10,19.230769230769234
"30","Allele_7",0,0.0
"30","Allele_8",0,0.0
"30","Allele_9",9,17.307692307692307
"30","Allele_10",10,19.230769230769234
"30","Allele_11",0,0.0
"30","Allele_12",8,15.384615384615385
"30","Allele_13",7,13.461538461538463
"30","Allele_14",3,5.769230769230769
"30","Allele_15",0,0.0
"31","Allele_1",0,0.0
"31","Allele_2",0,0.0
"31","Allele_3",1,1.8518518518518516
"31","Allele_4",0,0.0
"31","Allele_5",7,12.962962962962962
"31","Allele_6",13,24.074074074074073
"31","Allele_7",0,0.0
"31","Allele_8",0,0.0
"31","Allele_9",0,0.0
"31","Allele_10",6,11.11111111111111
"31","Allele_11",0,0.0
"31","Allele_12",12,22.22222222222222
"31","Allele_13",12,22.22222222222222
"31","Allele_14",3,5.555555555555555
"31","Allele_15",0,0.0
"32","Allele_1",0,0.0
"32","Allele_2",0,0.0
"32","Allele_3",0,0.0
"32","Allele_4",0,0.0
"32","Allele_5",4,7.547169811320755
"32","Allele_6",10,18.867924528301884
"32","Allele_7",0,0.0
"32","Allele_8",0,0.0
"32","Allele_9",4,7.547169811320755
"32","Allele_10",7,13.20754716981132
"32","Allele_11",0,0.0
"32","Allele_12",10,18.867924528301884
"32","Allele_13",15,28.30188679245283
"32","Allele_14",3,5.660377358490567
"32","Allele_15",0,0.0
"33","Allele_1",0,0.0
"33","Allele_2",0,0.0
"33","Allele_3",0,0.0
"33","Allele_4",0,0.0
"33","Allele_5",5,8.620689655172415
"33","Allele_6",13,22.413793103448278
"33","Allele_7",0,0.0
"33","Allele_8",0,0.0
"33","Allele_9",2,3.4482758620689653
"33","Allele_10",8,13.793103448275861
"33","Allele_11",1,1.7241379310344827
"33","Allele_12",10,17.24137931034483
"33","Allele_13",15,25.862068965517242
"33","Allele_14",4,6.896551724137931
"33","Allele_15",0,0.0
"34","Allele_1",0,0.0
"34","Allele_2",0,0.0
"34","Allele_3",0,0.0
"34","Allele_4",0,0.0
"34","Allele_5",6,11.538461538461538
"34","Allele_6",13,25.0
"34","Allele_7",0,0.0
"34","Allele_8",0,0.0
"34","Allele_9",4,7.6923076923076925
"34","Allele_10",8,15.384615384615385
"34","Allele_11",0,0.0
"34","Allele_12",5,9.615384615384617
"34","Allele_13",11,21.153846153846157
"34","Allele_14",5,9.615384615384617
"34","Allele_15",0,0.0
"35","Allele_1",0,0.0
"35","Allele_2",0,0.0
"35","Allele_3",0,0.0
"35","Allele_4",0,0.0
"35","Allele_5",5,10.20408163265306
"35","Allele_6",10,20.40816326530612
"35","Allele_7",0,0.0
"35","Allele_8",0,0.0
"35","Allele_9",1,2.0408163265306123
"35","Allele_10",10,20.40816326530612
"35","Allele_11",0,0.0
"35","Allele_12",8,16.3265306122449
"35","Allele_13",11,22.448979591836732
"35","Allele_14",4,8.16326530612245
"35","Allele_15",0,0.0
"36","Allele_1",0,0.0
"36","Allele_2",0,0.0
"36","Allele_3",1,2.272727272727273
"36","Allele_4",0,0.0
"36","Allele_5",3,6.8181818181818175
"36","Allele_6",9,20.454545454545457
"36","Allele_7",0,0.0
"36","Allele_8",0,0.0
"36","Allele_9",1,2.272727272727273
"36","Allele_10",9,20.454545454545457
"36","Allele_11",0,0.0
"36","Allele_12",9,20.454545454545457
"36","Allele_13",8,18.181818181818183
"36","Allele_14",4,9.090909090909092
"36","Allele_15",0,0.0
"37","Allele_1",0,0.0
"37","Allele_2",0,0.0
"37","Allele_3",2,5.263157894736842
"37","Allele_4",0,0.0
"37","Allele_5",2,5.263157894736842
"37","Allele_6",5,13.157894736842104
"37","Allele_7",1,2.631578947368421
"37","Allele_8",0,0.0
"37","Allele_9",1,2.631578947368421
"37","Allele_10",8,21.052631578947366
"37","Allele_11",0,0.0
"37","Allele_12",9,23.684210526315788
"37","Allele_13",10,26.31578947368421
"37","Allele_14",0,0.0
"37","Allele_15",0,0.0
"38","Allele_1",0,0.0
"38","Allele_2",0,0.0
"38","Allele_3",0,0.0
"38","Allele_4",0,0.0
"38","Allele_5",1,4.166666666666666
"38","Allele_6",8,33.33333333333333
"38","Allele_7",0,0.0
"38","Allele_8",0,0.0
"38","Allele_9",1,4.166666666666666
"38","Allele_10",3,12.5
"38","Allele_11",0,0.0
"38","Allele_12",7,29.166666666666664
"38","Allele_13",3,12.5
"38","Allele_14",1,4.166666666666666
"38","Allele_15",0,0.0
"39","Allele_1",0,0.0
"39","Allele_2",0,0.0
"39","Allele_3",0,0.0
"39","Allele_4",0,0.0
"39","Allele_5",1,4.3478260869565215
"39","Allele_6",8,34.78260869565217
"39","Allele_7",0,0.0
"39","Allele_8",0,0.0
"39","Allele_9",0,0.0
"39","Allele_10",2,8.695652173913043
"39","Allele_11",0,0.0
"39","Allele_12",1,4.3478260869565215
"39","Allele_13",6,26.08695652173913
"39","Allele_14",5,21.73913043478261
"39","Allele_15",0,0.0
"40","Allele_1",0,0.0
"40","Allele_2",0,0.0
"40","Allele_3",1,4.545454545454546
"40","Allele_4",0,0.0
"40","Allele_5",4,18.181818181818183
"40","Allele_6",5,22.72727272727273
"40","Allele_7",0,0.0
"40","Allele_8",0,0.0
"40","Allele_9",2,9.090909090909092
"40","Allele_10",5,22.72727272727273
"40","Allele_11",0,0.0
"40","Allele_12",2,9.090909090909092
"40","Allele_13",2,9.090909090909092
"40","Allele_14",1,4.545454545454546
"40","Allele_15",0,0.0
"41","Allele_1",0,0.0
"41","Allele_2",0,0.0
"41","Allele_3",0,0.0
"41","Allele_4",0,0.0
"41","Allele_5",2,12.5
